,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
153,0,3,31,0,40.5,0,2,8,14.5
155,0,1,27,0,51.0,0,1,8,61.3792
156,1,3,32,1,16.0,0,0,5,7.7333
157,0,3,15,0,30.0,0,0,15,8.05
160,0,3,24,0,44.0,0,1,6,16.1
161,1,2,50,1,40.0,0,0,10,15.75
162,0,3,26,0,26.0,0,0,6,7.775
163,0,3,15,0,17.0,0,0,6,8.6625
164,0,3,28,0,1.0,4,1,7,39.6875
165,1,3,47,0,9.0,0,2,6,20.525
167,0,3,47,1,45.0,1,4,6,27.9
169,0,3,13,0,28.0,0,0,4,56.4958
170,0,1,25,0,61.0,0,0,6,33.5
171,0,3,20,0,4.0,4,1,6,29.125
172,1,3,28,1,1.0,1,1,6,11.1333
173,0,3,25,0,21.0,0,0,17,7.925
174,0,1,23,0,56.0,0,0,5,30.6958
175,0,3,22,0,18.0,1,1,6,7.8542
177,0,1,26,1,50.0,0,0,8,28.7125
178,0,2,18,0,30.0,0,0,6,13.0
179,0,3,19,0,36.0,0,0,4,0.0
182,0,3,37,0,9.0,4,2,6,31.3875
183,1,2,25,0,1.0,2,1,6,39.0
184,1,3,35,1,4.0,0,2,6,22.025
187,1,1,45,0,45.0,0,0,6,26.55
188,0,3,16,0,40.0,1,1,6,15.5
189,0,3,19,0,36.0,0,0,6,7.8958
190,1,2,19,1,32.0,0,0,6,13.0
191,0,2,21,0,19.0,0,0,5,13.0
192,1,3,47,1,19.0,1,0,6,7.8542
193,1,2,26,0,3.0,1,1,6,26.0
194,1,1,41,1,44.0,0,0,8,27.7208
195,1,1,20,1,58.0,0,0,8,146.5208
197,0,3,32,0,42.0,0,1,4,8.4042
199,0,2,38,1,24.0,0,0,6,13.0
200,0,3,30,0,28.0,0,0,6,9.5
202,0,3,26,0,34.0,0,0,7,6.4958
203,0,3,20,0,45.5,0,0,4,7.225
204,1,3,24,0,18.0,0,0,8,8.05
205,0,3,26,1,2.0,0,1,6,10.4625
206,0,3,26,0,32.0,1,0,7,15.85
207,1,3,27,0,26.0,0,0,4,18.7875
208,1,3,25,1,16.0,0,0,6,7.75
209,1,1,16,0,40.0,0,0,6,31.0
210,0,3,14,0,24.0,0,0,18,7.05
211,1,2,26,1,35.0,0,0,12,21.0
212,0,3,22,0,22.0,0,0,9,7.25
213,0,2,27,0,30.0,0,0,6,13.0
215,1,1,23,1,31.0,1,0,5,113.275
216,1,3,22,1,27.0,0,0,16,7.925
217,0,2,28,0,42.0,1,0,6,27.0
218,1,1,21,1,32.0,0,0,5,76.2917
219,0,2,18,0,30.0,0,0,9,10.5
220,1,3,30,0,16.0,0,0,15,8.05
221,0,2,20,0,27.0,0,0,6,13.0
222,0,3,23,0,51.0,0,0,5,8.05
224,1,1,28,0,38.0,1,0,5,90.0
225,0,3,28,0,22.0,0,0,7,9.35
226,1,2,25,0,19.0,0,0,9,10.5
227,0,3,31,0,20.5,0,0,9,7.25
228,0,2,25,0,18.0,0,0,6,13.0
230,1,1,44,1,35.0,1,0,5,83.475
231,0,3,24,0,29.0,0,0,6,7.775
232,0,2,25,0,59.0,0,0,6,13.5
233,1,3,30,1,5.0,4,2,6,31.3875
234,0,2,33,0,24.0,0,0,10,10.5
236,0,2,17,0,44.0,1,0,5,26.0
237,1,2,32,1,8.0,0,2,10,26.25
238,0,2,31,0,19.0,0,0,5,10.5
239,0,2,22,0,33.0,0,0,10,12.275
242,0,2,31,0,29.0,0,0,11,10.5
243,0,3,29,0,22.0,0,0,17,7.125
244,0,3,20,0,30.0,0,0,4,7.225
245,0,1,27,0,44.0,2,0,5,90.0
246,0,3,37,1,25.0,0,0,6,7.775
247,1,2,31,1,24.0,0,2,6,14.5
248,1,1,29,0,37.0,1,1,5,52.5542
249,0,2,29,0,54.0,1,0,6,26.0
251,0,3,42,1,29.0,1,1,6,10.4625
252,0,1,25,0,62.0,0,0,6,26.55
253,0,3,24,0,30.0,1,0,9,16.1
254,0,3,40,1,41.0,0,2,6,20.2125
255,1,3,39,1,29.0,0,2,4,15.2458
257,1,1,20,1,30.0,0,0,6,86.5
258,1,1,16,1,35.0,0,0,8,512.3292
259,1,2,27,1,50.0,0,1,6,26.0
261,1,3,33,0,3.0,4,2,6,31.3875
262,0,1,17,0,52.0,1,1,6,79.65
263,0,1,21,0,40.0,0,0,6,0.0
265,0,2,17,0,36.0,0,0,10,10.5
266,0,3,25,0,16.0,4,1,7,39.6875
267,1,3,24,0,25.0,1,0,6,7.775
268,1,1,45,1,58.0,0,1,8,153.4625
269,1,1,22,1,35.0,0,0,8,135.6333
271,1,3,28,0,25.0,0,0,4,0.0
272,1,2,41,1,41.0,0,1,6,19.5
273,0,1,21,0,37.0,0,1,8,29.7
275,1,1,33,1,63.0,1,0,5,77.9583
276,0,3,33,1,45.0,0,0,6,7.75
278,0,3,18,0,7.0,4,1,6,29.125
279,1,3,32,1,35.0,1,1,9,20.25
280,0,3,16,0,65.0,0,0,6,7.75
281,0,3,32,0,28.0,0,0,6,7.8542
282,0,3,25,0,16.0,0,0,6,9.5
283,1,3,26,0,19.0,0,0,10,8.05
285,0,3,19,0,33.0,0,0,6,8.6625
286,1,3,23,0,30.0,0,0,6,9.5
287,0,3,20,0,22.0,0,0,6,7.8958
288,1,2,20,0,42.0,0,0,6,13.0
289,1,3,20,1,22.0,0,0,6,7.75
290,1,1,28,1,26.0,0,0,5,78.85
291,1,1,39,1,19.0,1,0,5,91.0792
292,0,2,22,0,36.0,0,0,13,12.875
293,0,3,19,1,24.0,0,0,6,8.85
294,0,3,16,0,24.0,0,0,6,7.8958
296,0,3,18,0,23.5,0,0,4,7.2292
297,0,1,28,1,2.0,1,2,6,151.55
299,1,1,47,1,50.0,0,1,8,247.5208
302,0,3,31,0,19.0,0,0,4,0.0
305,1,1,30,0,0.92,1,2,6,151.55
307,1,1,82,1,17.0,1,0,8,108.9
308,0,2,19,0,30.0,1,0,9,24.0
309,1,1,30,1,30.0,0,0,8,56.9292
310,1,1,30,1,24.0,0,0,5,83.1583
311,1,1,26,1,18.0,2,2,8,262.375
312,0,2,37,1,26.0,1,1,6,26.0
313,0,3,22,0,28.0,0,0,6,7.8958
314,0,2,18,0,43.0,1,1,12,26.25
315,1,3,31,1,26.0,0,0,6,7.8542
316,1,2,35,1,24.0,1,0,6,26.0
317,0,2,20,0,54.0,0,0,5,14.0
318,1,1,24,1,31.0,0,2,5,164.8667
319,1,1,56,1,40.0,1,1,5,134.5
320,0,3,18,0,22.0,0,0,9,7.25
321,0,3,16,0,27.0,0,0,6,7.8958
322,1,2,25,1,30.0,0,0,6,12.35
323,1,2,51,1,22.0,1,1,6,29.0
325,1,1,24,1,36.0,0,0,8,135.6333
326,0,3,25,0,61.0,0,0,6,6.2375
327,1,2,23,1,36.0,0,0,5,13.0
328,1,3,46,1,31.0,1,1,6,20.525
329,1,1,28,1,16.0,0,1,6,57.9792
331,0,1,19,0,45.5,0,0,6,28.5
332,0,1,25,0,38.0,0,1,8,153.4625
333,0,3,31,0,16.0,2,0,6,18.0
336,0,1,25,0,29.0,1,0,6,66.6
337,1,1,31,1,41.0,0,0,5,134.5
338,1,3,21,0,45.0,0,0,4,8.05
339,0,1,28,0,45.0,0,0,6,35.5
340,1,2,30,0,2.0,1,1,6,26.0
341,1,1,30,1,24.0,3,2,5,263.0
342,0,2,26,0,28.0,0,0,6,13.0
343,0,2,42,0,25.0,0,0,6,13.0
344,0,2,23,0,36.0,0,0,6,13.0
345,1,2,29,1,24.0,0,0,6,13.0
346,1,2,25,1,40.0,0,0,5,13.0
348,1,3,38,0,3.0,1,1,10,15.9
349,0,3,16,0,42.0,0,0,6,8.6625
350,0,3,22,0,23.0,0,0,4,9.225
352,0,3,18,0,15.0,1,1,4,7.2292
353,0,3,25,0,25.0,1,0,6,17.8
355,0,3,27,0,28.0,0,0,6,9.5
356,1,1,27,1,22.0,0,1,6,55.0
357,0,2,25,1,38.0,0,0,6,13.0
360,0,3,18,0,40.0,1,4,6,27.9
361,0,2,25,0,29.0,1,0,13,27.7208
362,0,3,31,1,45.0,0,1,4,14.4542
363,0,3,15,0,35.0,0,0,18,7.05
365,0,3,30,0,30.0,0,0,6,7.25
366,1,1,48,1,60.0,1,0,6,75.25
369,1,1,29,1,24.0,0,0,8,69.3
370,1,1,27,0,25.0,1,0,5,55.4417
371,0,3,25,0,18.0,1,0,7,6.4958
372,0,3,26,0,19.0,0,0,6,8.05
373,0,1,19,0,22.0,0,0,8,135.6333
374,0,3,26,1,3.0,3,1,6,21.075
376,1,3,31,1,22.0,0,0,6,7.25
377,0,1,25,0,27.0,0,2,6,211.5
378,0,3,19,0,20.0,0,0,4,4.0125
379,0,3,27,0,19.0,0,0,6,7.775
380,1,1,21,1,42.0,0,0,8,227.525
381,1,3,27,1,1.0,0,2,4,15.7417
382,0,3,18,0,32.0,0,0,17,7.925
383,1,1,51,1,35.0,1,0,6,52.0
385,0,2,25,0,18.0,0,0,12,73.5
386,0,3,31,0,1.0,5,2,7,46.9
387,1,2,16,1,36.0,0,0,5,13.0
389,1,2,21,1,17.0,0,0,7,12.0
390,1,1,26,0,36.0,1,2,6,120.0
391,1,3,22,0,21.0,0,0,6,7.7958
392,0,3,28,0,28.0,2,0,7,7.925
393,1,1,22,1,23.0,1,0,5,113.275
394,1,3,51,1,24.0,0,2,7,16.7
395,0,3,19,0,22.0,0,0,6,7.7958
396,0,3,19,1,31.0,0,0,6,7.8542
397,0,2,23,0,46.0,0,0,5,26.0
398,0,2,16,0,23.0,0,0,6,10.5
399,1,2,32,1,28.0,0,0,6,12.65
400,1,3,18,0,39.0,0,0,17,7.925
401,0,3,15,0,26.0,0,0,6,8.05
402,0,3,24,1,21.0,1,0,4,9.825
403,0,3,30,0,28.0,1,0,16,15.85
404,0,3,23,1,20.0,0,0,6,8.6625
405,0,2,18,0,34.0,1,0,5,21.0
406,0,3,32,0,51.0,0,0,6,7.75
407,1,2,30,0,3.0,1,1,5,18.75
408,0,3,33,0,21.0,0,0,6,7.775
412,1,1,22,1,33.0,1,0,5,90.0
414,1,3,25,0,44.0,0,0,17,7.925
416,1,2,47,1,34.0,1,1,5,32.5
417,1,2,29,1,18.0,0,2,6,13.0
418,0,2,26,0,30.0,0,0,5,13.0
419,0,3,25,1,10.0,0,2,6,24.15
421,0,3,19,0,21.0,0,0,10,7.7333
422,0,3,18,0,29.0,0,0,6,7.875
423,0,3,54,1,28.0,1,1,6,14.4
424,0,3,27,0,18.0,1,1,6,20.2125
426,1,2,43,1,28.0,1,0,4,26.0
427,1,2,67,1,19.0,0,0,6,26.0
429,1,3,34,0,32.0,0,0,17,8.05
430,1,1,41,0,28.0,0,0,6,26.55
432,1,2,51,1,42.0,1,0,10,26.0
433,0,3,26,0,17.0,0,0,17,7.125
434,0,1,25,0,50.0,1,0,5,55.9
435,1,1,25,1,14.0,1,2,6,120.0
436,0,3,36,1,21.0,2,2,10,34.375
437,1,2,37,1,24.0,2,3,5,18.75
438,0,1,17,0,64.0,1,4,5,263.0
439,0,2,38,0,31.0,0,0,10,10.5
440,1,2,43,1,45.0,1,1,12,26.25
441,0,3,15,0,20.0,0,0,6,9.5
442,0,3,25,0,25.0,1,0,6,7.775
443,1,2,25,1,28.0,0,0,6,13.0
445,1,1,25,0,4.0,0,2,5,81.8583
446,1,2,33,1,13.0,0,1,6,19.5
447,1,1,27,0,34.0,0,0,6,26.55
448,1,3,30,1,5.0,2,1,4,19.2583
449,1,1,30,0,52.0,0,0,6,30.5
450,0,2,21,0,36.0,1,2,10,27.75
452,0,1,31,0,30.0,0,0,6,27.75
453,1,1,24,0,49.0,1,0,5,89.1042
455,1,3,18,0,29.0,0,0,6,7.8958
456,0,1,25,0,65.0,0,0,5,26.55
458,1,2,19,1,50.0,0,0,12,10.5
460,1,1,19,0,48.0,0,0,5,26.55
461,0,3,19,0,34.0,0,0,6,8.05
462,0,1,17,0,47.0,0,0,6,38.5
463,0,2,28,0,48.0,0,0,6,13.0
465,0,3,31,0,38.0,0,0,18,7.05
467,0,1,26,0,56.0,0,0,6,26.55
469,1,3,29,1,0.75,2,1,4,19.2583
471,0,3,15,0,38.0,0,0,6,8.6625
472,1,2,39,1,33.0,1,2,10,27.75
473,1,2,44,1,23.0,0,0,15,13.7917
474,0,3,27,1,22.0,0,0,4,9.8375
476,0,2,23,0,34.0,1,0,5,21.0
477,0,3,25,0,29.0,1,0,4,7.0458
478,0,3,25,0,22.0,0,0,6,7.5208
479,1,3,24,1,2.0,0,1,7,12.2875
480,0,3,30,0,9.0,5,2,7,46.9
482,0,3,24,0,50.0,0,0,8,8.05
483,1,3,22,1,63.0,0,0,4,9.5875
484,1,1,23,0,25.0,1,0,5,91.0792
486,1,1,47,1,35.0,1,0,5,90.0
487,0,1,23,0,58.0,0,0,5,29.7
488,0,3,29,0,30.0,0,0,10,8.05
489,1,3,37,0,9.0,1,1,10,15.9
491,0,3,19,0,21.0,0,0,16,7.25
492,0,1,26,0,55.0,0,0,6,30.5
493,0,1,23,0,71.0,0,0,8,49.5042
494,0,3,26,0,21.0,0,0,9,8.05
496,1,1,30,1,54.0,1,0,5,78.2667
498,0,1,47,1,25.0,1,2,6,151.55
499,0,3,18,0,24.0,0,0,6,7.7958
500,0,3,16,0,17.0,0,0,6,8.6625
501,0,3,19,1,21.0,0,0,6,7.75
503,0,3,30,1,37.0,0,0,4,9.5875
504,1,1,21,1,16.0,0,0,6,86.5
505,0,1,42,0,18.0,1,0,8,108.9
506,1,2,45,1,33.0,0,2,5,26.0
508,0,3,24,0,28.0,0,0,6,22.525
509,1,3,14,0,26.0,0,0,4,56.4958
510,1,3,24,0,29.0,0,0,6,7.75
512,1,1,25,0,36.0,0,0,8,26.2875
513,1,1,46,1,54.0,1,0,8,59.4
514,0,3,17,0,24.0,0,0,6,7.4958
515,0,1,28,0,47.0,0,0,5,34.0208
516,1,2,28,1,34.0,0,0,10,10.5
518,1,2,52,1,36.0,1,0,6,26.0
519,0,3,19,0,32.0,0,0,6,7.8958
520,1,1,21,1,30.0,0,0,5,93.5
521,0,3,15,0,22.0,0,0,6,7.8958
523,1,1,47,1,44.0,0,1,6,57.9792
525,0,3,18,0,40.5,0,0,6,7.75
526,1,2,20,1,50.0,0,0,11,10.5
528,0,3,25,0,39.0,0,0,7,7.925
529,0,2,27,0,23.0,2,1,5,11.5
530,1,2,24,1,2.0,1,1,5,26.0
532,0,3,20,0,17.0,1,1,4,7.2292
534,0,3,19,1,30.0,0,0,6,8.6625
535,1,2,22,1,7.0,0,2,12,26.25
536,0,1,33,0,45.0,0,0,6,26.55
537,1,1,19,1,30.0,0,0,8,106.425
539,1,1,34,1,22.0,0,2,5,49.5
540,1,1,23,1,36.0,0,2,9,71.0
541,0,3,36,1,9.0,4,2,6,31.275
542,0,3,33,1,11.0,4,2,6,31.275
543,1,2,17,0,32.0,1,0,4,26.0
544,0,1,26,0,50.0,1,0,8,106.425
545,0,1,28,0,64.0,0,0,3,26.0
546,1,2,33,1,19.0,1,0,4,26.0
548,0,3,25,0,33.0,1,1,6,20.525
549,1,2,30,0,8.0,1,1,10,36.75
550,1,1,27,0,17.0,0,2,5,110.8833
551,0,2,27,0,27.0,0,0,6,26.0
553,1,3,33,0,22.0,0,0,4,7.225
554,1,3,18,1,22.0,0,0,6,7.775
555,0,1,18,0,62.0,0,0,6,26.55
556,1,1,65,1,48.0,1,0,5,39.6
558,1,1,38,1,39.0,1,1,6,79.65
559,1,3,44,1,36.0,1,0,6,17.4
561,0,3,17,0,40.0,0,0,6,7.8958
562,0,2,26,0,28.0,0,0,6,13.5
565,0,3,20,0,24.0,2,0,9,24.15
566,0,3,20,0,19.0,0,0,6,7.8958
567,0,3,43,1,29.0,0,4,6,21.075
569,1,3,17,0,32.0,0,0,6,7.8542
570,1,2,18,0,62.0,0,0,11,10.5
571,1,1,45,1,53.0,2,0,5,51.4792
572,1,1,32,0,36.0,0,0,8,26.3875
574,0,3,28,0,16.0,0,0,10,8.05
575,0,3,20,0,19.0,0,0,6,14.5
576,1,2,20,1,34.0,0,0,6,13.0
577,1,1,41,1,39.0,1,0,5,55.9
579,1,3,19,0,32.0,0,0,17,7.925
580,1,2,27,1,25.0,1,1,6,30.0
581,1,1,52,1,39.0,1,1,5,110.8833
582,0,2,26,0,54.0,0,0,5,26.0
583,0,1,19,0,36.0,0,0,5,40.125
585,1,1,19,1,18.0,0,2,6,79.65
586,0,2,23,0,47.0,0,0,6,15.0
587,1,1,32,0,60.0,1,1,5,79.2
588,0,3,21,0,22.0,0,0,5,8.05
590,0,3,20,0,35.0,0,0,17,7.125
591,1,1,47,1,52.0,1,0,5,78.2667
592,0,3,26,0,47.0,0,0,8,7.25
594,0,2,23,0,37.0,1,0,11,26.0
595,0,3,27,0,36.0,1,1,6,24.15
597,0,3,19,0,49.0,0,0,4,0.0
599,1,1,44,0,49.0,1,0,8,56.9292
600,1,2,51,1,24.0,2,1,6,27.0
603,0,3,25,0,44.0,0,0,6,8.05
604,1,1,31,0,35.0,0,0,6,26.55
605,0,3,29,0,36.0,1,0,6,15.55
606,0,3,17,0,30.0,0,0,6,7.8958
607,1,1,27,0,27.0,0,0,6,30.5
608,1,2,53,1,22.0,1,2,13,41.5792
609,1,1,25,1,40.0,0,0,8,153.4625
610,0,3,57,1,39.0,1,5,6,31.275
614,0,3,31,0,35.0,0,0,6,8.05
615,1,2,19,1,24.0,1,2,6,65.0
616,0,3,25,0,34.0,1,1,6,14.4
617,0,3,47,1,26.0,1,0,9,16.1
618,1,2,27,1,4.0,2,1,6,39.0
619,0,2,19,0,26.0,0,0,5,10.5
620,0,3,19,0,27.0,1,0,4,14.4542
621,1,1,28,0,42.0,1,0,5,52.5542
622,1,3,16,0,20.0,1,1,4,15.7417
623,0,3,27,0,21.0,0,0,6,7.8542
624,0,3,27,0,21.0,0,0,5,16.1
625,0,1,21,0,61.0,0,0,5,32.3208
626,0,2,30,0,57.0,0,0,6,12.35
627,1,1,29,1,21.0,0,0,5,77.9583
628,0,3,25,0,26.0,0,0,6,7.8958
630,1,1,36,0,80.0,0,0,5,30.0
631,0,3,27,0,51.0,0,0,6,7.0542
632,1,1,25,0,32.0,0,0,5,30.5
634,0,3,18,1,9.0,3,2,6,27.9
635,1,2,17,1,28.0,0,0,6,13.0
636,0,3,26,0,32.0,0,0,17,7.925
637,0,2,19,0,31.0,1,1,10,26.25
638,0,3,38,1,41.0,0,5,7,39.6875
640,0,3,22,0,20.0,0,0,6,7.8542
641,1,1,20,1,24.0,0,0,8,69.3
642,0,3,29,1,2.0,3,2,6,27.9
644,1,3,22,1,0.75,2,1,4,19.2583
645,1,1,25,0,48.0,1,0,8,76.7292
646,0,3,17,0,19.0,0,0,6,7.8958
647,1,1,35,0,56.0,0,0,5,35.5
649,1,3,31,1,23.0,0,0,8,7.55
651,1,2,19,1,18.0,0,1,6,23.0
652,0,3,30,0,21.0,0,0,4,8.4333
654,0,3,28,1,18.0,0,0,6,6.75
655,0,2,25,0,24.0,2,0,12,73.5
657,0,3,29,1,32.0,1,1,6,15.5
658,0,2,28,0,23.0,0,0,5,13.0
659,0,1,26,0,58.0,0,2,5,113.275
660,1,1,29,0,50.0,2,0,8,133.65
661,0,3,17,0,40.0,0,0,4,7.225
662,0,1,26,0,47.0,0,0,4,25.5875
663,0,3,16,0,36.0,0,0,6,7.4958
664,1,3,27,0,20.0,1,0,17,7.925
665,0,2,18,0,32.0,2,0,12,73.5
666,0,2,27,0,25.0,0,0,6,13.0
668,0,3,15,0,43.0,0,0,8,8.05
670,1,2,61,1,40.0,1,1,5,39.0
671,0,1,22,0,31.0,1,0,10,52.0
672,0,2,27,0,70.0,0,0,10,10.5
673,1,2,21,0,31.0,0,0,6,13.0
675,0,3,30,0,18.0,0,0,6,7.775
676,0,3,29,0,24.5,0,0,6,8.05
677,1,3,23,1,18.0,0,0,4,9.8417
678,0,3,39,1,43.0,1,6,7,46.9
679,1,1,34,0,36.0,0,1,8,512.3292
681,1,1,18,0,27.0,0,0,8,76.7292
682,0,3,27,0,20.0,0,0,4,9.225
683,0,3,27,0,14.0,5,2,7,46.9
684,0,2,33,0,60.0,1,1,5,39.0
685,0,2,38,0,25.0,1,2,13,41.5792
686,0,3,24,0,14.0,4,1,7,39.6875
687,0,3,17,0,19.0,0,0,6,10.1708
688,0,3,31,0,18.0,0,0,6,7.7958
689,1,1,33,1,15.0,0,1,5,211.3375
690,1,1,23,0,31.0,1,0,5,57.0
691,1,3,18,1,4.0,0,1,6,13.4167
693,0,3,16,0,25.0,0,0,4,7.225
694,0,1,15,0,60.0,0,0,6,26.55
695,0,2,26,0,52.0,0,0,6,13.5
696,0,3,16,0,44.0,0,0,6,8.05
698,0,1,24,0,49.0,1,1,5,110.8833
699,0,3,40,0,42.0,0,0,6,7.65
700,1,1,49,1,18.0,1,0,8,227.525
701,1,1,32,0,35.0,0,0,8,26.2875
702,0,3,21,1,18.0,0,1,4,14.4542
703,0,3,21,0,25.0,0,0,5,7.7417
704,0,3,23,0,26.0,1,0,6,7.8542
705,0,2,46,0,39.0,0,0,6,26.0
706,1,2,29,1,45.0,0,0,6,13.5
707,1,1,33,0,42.0,0,0,8,26.2875
708,1,1,20,1,22.0,0,0,6,151.55
710,1,1,48,1,24.0,0,0,8,49.5042
712,1,1,24,0,48.0,1,0,5,52.0
713,0,3,26,0,29.0,0,0,4,9.4833
714,0,2,21,0,52.0,0,0,6,13.0
715,0,3,42,0,19.0,0,0,6,7.65
716,1,1,29,1,38.0,0,0,8,227.525
717,1,2,35,1,27.0,0,0,5,10.5
719,0,3,28,0,33.0,0,0,6,7.775
