,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
762,1,3,21,0,20.0,0,0,4,7.2292
767,0,3,18,1,30.5,0,0,6,7.75
772,0,2,17,1,57.0,0,0,11,10.5
788,1,3,26,0,1.0,1,2,9,20.575
792,0,3,23,1,29.69911764705882,8,2,8,69.55
799,0,3,52,1,30.0,1,1,6,24.15
802,1,1,35,0,11.0,1,2,6,120.0
803,1,3,31,0,0.42,0,1,4,8.5167
804,1,3,23,0,27.0,0,0,6,6.975
807,0,3,31,1,18.0,0,0,6,7.775
813,0,3,34,1,6.0,4,2,6,31.275
816,0,3,28,1,23.0,0,0,16,7.925
821,1,3,17,0,27.0,0,0,6,8.6625
827,1,2,21,0,1.0,0,2,15,37.0042
828,1,3,28,0,29.69911764705882,0,0,6,7.75
831,1,2,31,0,0.83,1,1,5,18.75
838,1,3,15,0,32.0,0,0,4,56.4958
839,1,1,20,0,29.69911764705882,0,0,5,29.7
852,0,3,23,1,9.0,1,1,4,15.2458
854,0,2,45,1,44.0,1,0,6,26.0
857,1,1,22,0,51.0,0,0,6,26.55
863,0,3,33,1,29.69911764705882,8,2,8,69.55
869,1,3,31,0,4.0,1,1,6,11.1333
882,0,3,28,1,22.0,0,0,4,10.5167
885,0,3,36,1,39.0,0,5,6,29.125
888,0,3,40,1,29.69911764705882,1,2,10,23.45
889,1,1,21,0,26.0,0,0,6,30.0
883,0,2,29,0,28.0,0,0,16,10.5
719,0,3,28,0,33.0,0,0,6,7.775
787,0,3,25,0,8.0,4,1,6,29.125
410,0,3,18,0,29.69911764705882,0,0,6,7.8958
655,0,2,25,0,24.0,2,0,12,73.5
381,1,3,27,1,1.0,0,2,4,15.7417
517,0,3,17,0,29.69911764705882,0,0,6,24.15
383,1,1,51,1,35.0,1,0,6,52.0
360,0,3,18,0,40.0,1,4,6,27.9
836,0,3,16,0,21.0,0,0,6,8.6625
480,0,3,30,0,9.0,5,2,7,46.9
602,0,1,25,0,29.69911764705882,0,0,6,42.4
324,0,3,24,0,29.69911764705882,8,2,8,69.55
769,0,3,32,0,32.0,0,0,4,8.3625
829,1,1,41,1,62.0,0,0,6,80.0
135,0,2,18,0,23.0,0,0,13,15.0458
735,0,3,20,0,28.5,0,0,5,16.1
377,0,1,25,0,27.0,0,2,6,211.5
144,0,2,26,0,18.0,0,0,6,11.5
557,0,1,19,0,29.69911764705882,0,0,8,227.525
225,0,3,28,0,22.0,0,0,7,9.35
0,0,3,23,0,22.0,1,0,9,7.25
754,1,2,32,1,48.0,1,2,6,65.0
624,0,3,27,0,21.0,0,0,5,16.1
16,0,3,20,0,2.0,4,1,6,29.125
812,0,2,25,0,35.0,0,0,5,10.5
372,0,3,26,0,19.0,0,0,6,8.05
37,0,3,24,0,21.0,0,0,10,8.05
532,0,3,20,0,17.0,1,1,4,7.2292
784,0,3,16,0,25.0,0,0,18,7.05
563,0,3,17,0,29.69911764705882,0,0,15,8.05
318,1,1,24,1,31.0,0,2,5,164.8667
89,0,3,22,0,24.0,0,0,6,8.05
778,0,3,23,0,29.69911764705882,0,0,5,7.7375
241,1,3,30,1,29.69911764705882,1,0,6,15.5
201,0,3,19,0,29.69911764705882,8,2,8,69.55
213,0,2,27,0,30.0,0,0,6,13.0
378,0,3,19,0,20.0,0,0,4,4.0125
316,1,2,35,1,24.0,1,0,6,26.0
748,0,1,25,0,19.0,1,0,6,53.1
420,0,3,22,0,29.69911764705882,0,0,6,7.8958
358,1,3,20,1,29.69911764705882,0,0,6,7.8792
855,1,3,26,1,18.0,0,1,6,9.35
109,1,3,19,1,29.69911764705882,1,0,6,24.15
590,0,3,20,0,35.0,0,0,17,7.125
270,0,1,21,0,29.69911764705882,0,0,6,31.0
613,0,3,16,0,29.69911764705882,0,0,6,7.75
96,0,1,25,0,71.0,0,0,8,34.6542
463,0,2,28,0,48.0,0,0,6,13.0
870,0,3,17,0,26.0,0,0,6,7.8958
698,0,1,24,0,49.0,1,1,5,110.8833
368,1,3,19,1,29.69911764705882,0,0,5,7.75
764,0,3,22,0,16.0,0,0,6,7.775
558,1,1,38,1,39.0,1,1,6,79.65
682,0,3,27,0,20.0,0,0,4,9.225
335,0,3,18,0,29.69911764705882,0,0,6,7.8958
192,1,3,47,1,19.0,1,0,6,7.8542
263,0,1,21,0,40.0,0,0,6,0.0
139,0,1,18,0,24.0,0,0,8,79.2
706,1,2,29,1,45.0,0,0,6,13.5
80,0,3,20,0,22.0,0,0,6,9.0
234,0,2,33,0,24.0,0,0,10,10.5
670,1,2,61,1,40.0,1,1,5,39.0
523,1,1,47,1,44.0,0,1,6,57.9792
43,1,2,40,1,3.0,1,2,13,41.5792
811,0,3,17,0,39.0,0,0,9,24.15
393,1,1,22,1,23.0,1,0,5,113.275
844,0,3,19,0,17.0,0,0,6,8.6625
219,0,2,18,0,30.0,0,0,9,10.5
536,0,1,33,0,45.0,0,0,6,26.55
87,0,3,29,0,29.69911764705882,0,0,15,8.05
203,0,3,20,0,45.5,0,0,4,7.225
99,0,2,17,0,34.0,1,0,6,26.0
141,1,3,24,1,22.0,0,0,6,7.75
798,0,3,28,0,30.0,0,0,4,7.2292
344,0,2,23,0,36.0,0,0,6,13.0
809,1,1,46,1,33.0,1,0,6,53.1
346,1,2,25,1,40.0,0,0,5,13.0
110,0,1,30,0,47.0,0,0,6,52.0
649,1,3,31,1,23.0,0,0,8,7.55
28,1,3,29,1,29.69911764705882,0,0,6,7.8792
2,1,3,22,1,26.0,0,0,16,7.925
156,1,3,32,1,16.0,0,0,5,7.7333
522,0,3,18,0,29.69911764705882,0,0,4,7.225
345,1,2,29,1,24.0,0,0,6,13.0
426,1,2,43,1,28.0,1,0,4,26.0
519,0,3,19,0,32.0,0,0,6,7.8958
721,0,3,25,0,17.0,1,0,6,7.0542
122,0,2,20,0,32.5,1,0,6,30.0708
303,1,2,19,1,29.69911764705882,0,0,6,12.35
249,0,2,29,0,54.0,1,0,6,26.0
44,1,3,29,1,19.0,0,0,6,7.8792
623,0,3,27,0,21.0,0,0,6,7.8542
273,0,1,21,0,37.0,0,1,8,29.7
395,0,3,19,0,22.0,0,0,6,7.7958
104,0,3,30,0,37.0,2,0,7,7.925
471,0,3,15,0,38.0,0,0,6,8.6625
259,1,2,27,1,50.0,0,1,6,26.0
535,1,2,22,1,7.0,0,2,12,26.25
92,0,1,27,0,46.0,1,0,11,61.175
716,1,1,29,1,38.0,0,0,8,227.525
583,0,1,19,0,36.0,0,0,5,40.125
136,1,1,28,1,19.0,0,2,5,26.2833
582,0,2,26,0,54.0,0,0,5,26.0
742,1,1,37,1,21.0,2,2,8,262.375
672,0,2,27,0,70.0,0,0,10,10.5
703,0,3,21,0,25.0,0,0,5,7.7417
505,0,1,42,0,18.0,1,0,8,108.9
586,0,2,23,0,47.0,0,0,6,15.0
745,0,1,28,0,70.0,1,1,9,71.0
322,1,2,25,1,30.0,0,0,6,12.35
152,0,3,16,0,55.5,0,0,10,8.05
231,0,3,24,0,29.0,0,0,6,7.775
615,1,2,19,1,24.0,1,2,6,65.0
439,0,2,38,0,31.0,0,0,10,10.5
385,0,2,25,0,18.0,0,0,12,73.5
272,1,2,41,1,41.0,0,1,6,19.5
278,0,3,18,0,7.0,4,1,6,29.125
714,0,2,21,0,52.0,0,0,6,13.0
245,0,1,27,0,44.0,2,0,5,90.0
866,1,2,28,1,27.0,1,0,13,13.8583
459,0,3,21,0,29.69911764705882,0,0,6,7.75
663,0,3,16,0,36.0,0,0,6,7.4958
477,0,3,25,0,29.0,1,0,4,7.0458
388,0,3,20,0,29.69911764705882,0,0,6,7.7292
513,1,1,46,1,54.0,1,0,8,59.4
39,1,3,27,1,14.0,1,0,4,11.2417
411,0,3,15,0,29.69911764705882,0,0,6,6.8583
880,1,2,44,1,25.0,0,1,6,26.0
405,0,2,18,0,34.0,1,0,5,21.0
661,0,3,17,0,40.0,0,0,4,7.225
282,0,3,25,0,16.0,0,0,6,9.5
79,1,3,24,1,30.0,0,0,6,12.475
491,0,3,19,0,21.0,0,0,16,7.25
600,1,2,51,1,24.0,2,1,6,27.0
515,0,1,28,0,47.0,0,0,5,34.0208
364,0,3,19,0,29.69911764705882,1,0,6,15.5
155,0,1,27,0,51.0,0,1,8,61.3792
636,0,3,26,0,32.0,0,0,17,7.925
467,0,1,26,0,56.0,0,0,6,26.55
185,0,1,21,0,29.69911764705882,0,0,6,50.0
490,0,3,36,0,29.69911764705882,1,0,5,19.9667
413,0,2,30,0,29.69911764705882,0,0,6,0.0
130,0,3,20,0,33.0,0,0,6,7.8958
255,1,3,39,1,29.0,0,2,4,15.2458
434,0,1,25,0,50.0,1,0,5,55.9
760,0,3,18,0,29.69911764705882,0,0,6,14.5
112,0,3,22,0,22.0,0,0,6,8.05
416,1,2,47,1,34.0,1,1,5,32.5
581,1,1,52,1,39.0,1,1,5,110.8833
518,1,2,52,1,36.0,1,0,6,26.0
693,0,3,16,0,25.0,0,0,4,7.225
292,0,2,22,0,36.0,0,0,13,12.875
608,1,2,53,1,22.0,1,2,13,41.5792
12,0,3,30,0,20.0,0,0,9,8.05
739,0,3,18,0,29.69911764705882,0,0,6,7.8958
188,0,3,16,0,40.0,1,1,6,15.5
667,0,3,26,0,29.69911764705882,0,0,6,7.775
366,1,1,48,1,60.0,1,0,6,75.25
3,1,1,44,1,35.0,1,0,6,53.1
674,0,2,26,0,29.69911764705882,0,0,6,0.0
554,1,3,18,1,22.0,0,0,6,7.775
462,0,1,17,0,47.0,0,0,6,38.5
545,0,1,28,0,64.0,0,0,3,26.0
500,0,3,16,0,17.0,0,0,6,8.6625
46,0,3,17,0,29.69911764705882,1,0,6,15.5
730,1,1,29,1,29.0,0,0,5,211.3375
1,1,1,51,1,38.0,1,0,8,71.2833
13,0,3,27,0,39.0,1,5,6,31.275
433,0,3,26,0,17.0,0,0,17,7.125
723,0,2,23,0,50.0,0,0,6,13.0
619,0,2,19,0,26.0,0,0,5,10.5
32,1,3,24,1,29.69911764705882,0,0,6,7.75
198,1,3,32,1,29.69911764705882,0,0,6,7.75
849,1,1,44,1,29.69911764705882,1,0,5,89.1042
427,1,2,67,1,19.0,0,0,6,26.0
508,0,3,24,0,28.0,0,0,6,22.525
850,0,3,39,0,4.0,4,2,6,31.275
75,0,3,23,0,25.0,0,0,6,7.65
154,0,3,21,0,29.69911764705882,0,0,9,7.3125
351,0,1,38,0,29.69911764705882,0,0,6,35.0
397,0,2,23,0,46.0,0,0,5,26.0
577,1,1,41,1,39.0,1,0,5,55.9
528,0,3,25,0,39.0,0,0,7,7.925
8,1,3,49,1,27.0,0,2,6,11.1333
782,0,1,22,0,29.0,0,0,6,30.0
262,0,1,17,0,52.0,1,1,6,79.65
330,1,3,18,1,29.69911764705882,2,0,6,23.25
556,1,1,65,1,48.0,1,0,5,39.6
238,0,2,31,0,19.0,0,0,5,10.5
