,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
422,0,3,18,0,29.0,0,0,6
423,0,3,54,1,28.0,1,1,6
424,0,3,27,0,18.0,1,1,6
426,1,2,43,1,28.0,1,0,4
427,1,2,67,1,19.0,0,0,6
429,1,3,34,0,32.0,0,0,17
430,1,1,41,0,28.0,0,0,6
432,1,2,51,1,42.0,1,0,10
433,0,3,26,0,17.0,0,0,17
434,0,1,25,0,50.0,1,0,5
435,1,1,25,1,14.0,1,2,6
436,0,3,36,1,21.0,2,2,10
437,1,2,37,1,24.0,2,3,5
438,0,1,17,0,64.0,1,4,5
439,0,2,38,0,31.0,0,0,10
440,1,2,43,1,45.0,1,1,12
441,0,3,15,0,20.0,0,0,6
442,0,3,25,0,25.0,1,0,6
443,1,2,25,1,28.0,0,0,6
445,1,1,25,0,4.0,0,2,5
446,1,2,33,1,13.0,0,1,6
447,1,1,27,0,34.0,0,0,6
448,1,3,30,1,5.0,2,1,4
449,1,1,30,0,52.0,0,0,6
450,0,2,21,0,36.0,1,2,10
452,0,1,31,0,30.0,0,0,6
453,1,1,24,0,49.0,1,0,5
455,1,3,18,0,29.0,0,0,6
456,0,1,25,0,65.0,0,0,5
458,1,2,19,1,50.0,0,0,12
460,1,1,19,0,48.0,0,0,5
461,0,3,19,0,34.0,0,0,6
462,0,1,17,0,47.0,0,0,6
463,0,2,28,0,48.0,0,0,6
465,0,3,31,0,38.0,0,0,18
467,0,1,26,0,56.0,0,0,6
469,1,3,29,1,0.75,2,1,4
471,0,3,15,0,38.0,0,0,6
472,1,2,39,1,33.0,1,2,10
473,1,2,44,1,23.0,0,0,15
474,0,3,27,1,22.0,0,0,4
476,0,2,23,0,34.0,1,0,5
477,0,3,25,0,29.0,1,0,4
478,0,3,25,0,22.0,0,0,6
479,1,3,24,1,2.0,0,1,7
480,0,3,30,0,9.0,5,2,7
482,0,3,24,0,50.0,0,0,8
483,1,3,22,1,63.0,0,0,4
484,1,1,23,0,25.0,1,0,5
486,1,1,47,1,35.0,1,0,5
487,0,1,23,0,58.0,0,0,5
488,0,3,29,0,30.0,0,0,10
489,1,3,37,0,9.0,1,1,10
491,0,3,19,0,21.0,0,0,16
492,0,1,26,0,55.0,0,0,6
493,0,1,23,0,71.0,0,0,8
494,0,3,26,0,21.0,0,0,9
496,1,1,30,1,54.0,1,0,5
498,0,1,47,1,25.0,1,2,6
499,0,3,18,0,24.0,0,0,6
500,0,3,16,0,17.0,0,0,6
501,0,3,19,1,21.0,0,0,6
503,0,3,30,1,37.0,0,0,4
504,1,1,21,1,16.0,0,0,6
505,0,1,42,0,18.0,1,0,8
506,1,2,45,1,33.0,0,2,5
508,0,3,24,0,28.0,0,0,6
509,1,3,14,0,26.0,0,0,4
510,1,3,24,0,29.0,0,0,6
512,1,1,25,0,36.0,0,0,8
513,1,1,46,1,54.0,1,0,8
514,0,3,17,0,24.0,0,0,6
515,0,1,28,0,47.0,0,0,5
516,1,2,28,1,34.0,0,0,10
518,1,2,52,1,36.0,1,0,6
519,0,3,19,0,32.0,0,0,6
520,1,1,21,1,30.0,0,0,5
521,0,3,15,0,22.0,0,0,6
523,1,1,47,1,44.0,0,1,6
525,0,3,18,0,40.5,0,0,6
526,1,2,20,1,50.0,0,0,11
528,0,3,25,0,39.0,0,0,7
529,0,2,27,0,23.0,2,1,5
530,1,2,24,1,2.0,1,1,5
532,0,3,20,0,17.0,1,1,4
534,0,3,19,1,30.0,0,0,6
535,1,2,22,1,7.0,0,2,12
536,0,1,33,0,45.0,0,0,6
537,1,1,19,1,30.0,0,0,8
539,1,1,34,1,22.0,0,2,5
540,1,1,23,1,36.0,0,2,9
541,0,3,36,1,9.0,4,2,6
542,0,3,33,1,11.0,4,2,6
543,1,2,17,0,32.0,1,0,4
544,0,1,26,0,50.0,1,0,8
545,0,1,28,0,64.0,0,0,3
546,1,2,33,1,19.0,1,0,4
548,0,3,25,0,33.0,1,1,6
549,1,2,30,0,8.0,1,1,10
550,1,1,27,0,17.0,0,2,5
551,0,2,27,0,27.0,0,0,6
553,1,3,33,0,22.0,0,0,4
554,1,3,18,1,22.0,0,0,6
555,0,1,18,0,62.0,0,0,6
556,1,1,65,1,48.0,1,0,5
558,1,1,38,1,39.0,1,1,6
559,1,3,44,1,36.0,1,0,6
561,0,3,17,0,40.0,0,0,6
562,0,2,26,0,28.0,0,0,6
565,0,3,20,0,24.0,2,0,9
566,0,3,20,0,19.0,0,0,6
567,0,3,43,1,29.0,0,4,6
569,1,3,17,0,32.0,0,0,6
570,1,2,18,0,62.0,0,0,11
571,1,1,45,1,53.0,2,0,5
572,1,1,32,0,36.0,0,0,8
574,0,3,28,0,16.0,0,0,10
575,0,3,20,0,19.0,0,0,6
576,1,2,20,1,34.0,0,0,6
577,1,1,41,1,39.0,1,0,5
579,1,3,19,0,32.0,0,0,17
580,1,2,27,1,25.0,1,1,6
581,1,1,52,1,39.0,1,1,5
582,0,2,26,0,54.0,0,0,5
583,0,1,19,0,36.0,0,0,5
585,1,1,19,1,18.0,0,2,6
586,0,2,23,0,47.0,0,0,6
587,1,1,32,0,60.0,1,1,5
588,0,3,21,0,22.0,0,0,5
590,0,3,20,0,35.0,0,0,17
591,1,1,47,1,52.0,1,0,5
592,0,3,26,0,47.0,0,0,8
594,0,2,23,0,37.0,1,0,11
595,0,3,27,0,36.0,1,1,6
597,0,3,19,0,49.0,0,0,4
599,1,1,44,0,49.0,1,0,8
600,1,2,51,1,24.0,2,1,6
603,0,3,25,0,44.0,0,0,6
604,1,1,31,0,35.0,0,0,6
605,0,3,29,0,36.0,1,0,6
606,0,3,17,0,30.0,0,0,6
607,1,1,27,0,27.0,0,0,6
608,1,2,53,1,22.0,1,2,13
609,1,1,25,1,40.0,0,0,8
610,0,3,57,1,39.0,1,5,6
614,0,3,31,0,35.0,0,0,6
615,1,2,19,1,24.0,1,2,6
616,0,3,25,0,34.0,1,1,6
617,0,3,47,1,26.0,1,0,9
618,1,2,27,1,4.0,2,1,6
619,0,2,19,0,26.0,0,0,5
620,0,3,19,0,27.0,1,0,4
621,1,1,28,0,42.0,1,0,5
622,1,3,16,0,20.0,1,1,4
623,0,3,27,0,21.0,0,0,6
624,0,3,27,0,21.0,0,0,5
625,0,1,21,0,61.0,0,0,5
626,0,2,30,0,57.0,0,0,6
627,1,1,29,1,21.0,0,0,5
628,0,3,25,0,26.0,0,0,6
630,1,1,36,0,80.0,0,0,5
631,0,3,27,0,51.0,0,0,6
632,1,1,25,0,32.0,0,0,5
634,0,3,18,1,9.0,3,2,6
635,1,2,17,1,28.0,0,0,6
636,0,3,26,0,32.0,0,0,17
637,0,2,19,0,31.0,1,1,10
638,0,3,38,1,41.0,0,5,7
640,0,3,22,0,20.0,0,0,6
641,1,1,20,1,24.0,0,0,8
642,0,3,29,1,2.0,3,2,6
644,1,3,22,1,0.75,2,1,4
645,1,1,25,0,48.0,1,0,8
646,0,3,17,0,19.0,0,0,6
647,1,1,35,0,56.0,0,0,5
649,1,3,31,1,23.0,0,0,8
651,1,2,19,1,18.0,0,1,6
652,0,3,30,0,21.0,0,0,4
654,0,3,28,1,18.0,0,0,6
655,0,2,25,0,24.0,2,0,12
657,0,3,29,1,32.0,1,1,6
658,0,2,28,0,23.0,0,0,5
659,0,1,26,0,58.0,0,2,5
660,1,1,29,0,50.0,2,0,8
661,0,3,17,0,40.0,0,0,4
662,0,1,26,0,47.0,0,0,4
663,0,3,16,0,36.0,0,0,6
664,1,3,27,0,20.0,1,0,17
665,0,2,18,0,32.0,2,0,12
666,0,2,27,0,25.0,0,0,6
668,0,3,15,0,43.0,0,0,8
670,1,2,61,1,40.0,1,1,5
671,0,1,22,0,31.0,1,0,10
672,0,2,27,0,70.0,0,0,10
673,1,2,21,0,31.0,0,0,6
675,0,3,30,0,18.0,0,0,6
676,0,3,29,0,24.5,0,0,6
677,1,3,23,1,18.0,0,0,4
678,0,3,39,1,43.0,1,6,7
679,1,1,34,0,36.0,0,1,8
681,1,1,18,0,27.0,0,0,8
682,0,3,27,0,20.0,0,0,4
683,0,3,27,0,14.0,5,2,7
684,0,2,33,0,60.0,1,1,5
685,0,2,38,0,25.0,1,2,13
686,0,3,24,0,14.0,4,1,7
687,0,3,17,0,19.0,0,0,6
688,0,3,31,0,18.0,0,0,6
689,1,1,33,1,15.0,0,1,5
690,1,1,23,0,31.0,1,0,5
691,1,3,18,1,4.0,0,1,6
693,0,3,16,0,25.0,0,0,4
694,0,1,15,0,60.0,0,0,6
695,0,2,26,0,52.0,0,0,6
696,0,3,16,0,44.0,0,0,6
698,0,1,24,0,49.0,1,1,5
699,0,3,40,0,42.0,0,0,6
700,1,1,49,1,18.0,1,0,8
701,1,1,32,0,35.0,0,0,8
702,0,3,21,1,18.0,0,1,4
703,0,3,21,0,25.0,0,0,5
704,0,3,23,0,26.0,1,0,6
705,0,2,46,0,39.0,0,0,6
706,1,2,29,1,45.0,0,0,6
707,1,1,33,0,42.0,0,0,8
708,1,1,20,1,22.0,0,0,6
710,1,1,48,1,24.0,0,0,8
712,1,1,24,0,48.0,1,0,5
713,0,3,26,0,29.0,0,0,4
714,0,2,21,0,52.0,0,0,6
715,0,3,42,0,19.0,0,0,6
716,1,1,29,1,38.0,0,0,8
717,1,2,35,1,27.0,0,0,5
719,0,3,28,0,33.0,0,0,6
720,1,2,33,1,6.0,0,1,6
721,0,3,25,0,17.0,1,0,6
722,0,2,28,0,34.0,0,0,5
723,0,2,23,0,50.0,0,0,6
724,1,1,29,0,27.0,1,0,6
725,0,3,19,0,20.0,0,0,6
726,1,2,43,1,30.0,3,0,5
728,0,2,31,0,25.0,1,0,6
729,0,3,29,1,25.0,1,0,16
730,1,1,29,1,29.0,0,0,5
731,0,3,24,0,11.0,0,0,4
733,0,2,26,0,23.0,0,0,5
734,0,2,28,0,23.0,0,0,6
735,0,3,20,0,28.5,0,0,5
736,0,3,39,1,48.0,1,3,10
737,1,1,22,0,35.0,0,0,8
741,0,1,29,0,36.0,1,0,5
742,1,1,37,1,21.0,2,2,8
743,0,3,17,0,24.0,1,0,6
744,1,3,18,0,31.0,0,0,17
745,0,1,28,0,70.0,1,1,9
746,0,3,27,0,16.0,1,1,9
747,1,2,21,1,30.0,0,0,6
748,0,1,25,0,19.0,1,0,6
749,0,3,23,0,31.0,0,0,6
750,1,2,17,1,4.0,1,1,5
751,1,3,19,0,6.0,0,1,6
752,0,3,32,0,33.0,0,0,6
753,0,3,18,0,23.0,0,0,6
754,1,2,32,1,48.0,1,2,6
755,1,2,25,0,0.67,1,1,6
756,0,3,28,0,28.0,0,0,6
757,0,2,24,0,18.0,0,0,5
758,0,3,28,0,34.0,0,0,6
759,1,1,56,1,33.0,0,0,6
761,0,3,30,0,41.0,0,0,16
762,1,3,21,0,20.0,0,0,4
763,1,1,41,1,36.0,1,2,6
764,0,3,22,0,16.0,0,0,6
765,1,1,36,1,51.0,1,0,5
767,0,3,18,1,30.5,0,0,6
769,0,3,32,0,32.0,0,0,4
770,0,3,22,0,24.0,0,0,6
771,0,3,23,0,48.0,0,0,6
772,0,2,17,1,57.0,0,0,11
774,1,2,37,1,54.0,1,3,5
775,0,3,39,0,18.0,0,0,6
777,1,3,29,1,5.0,0,0,6
779,1,1,53,1,43.0,0,1,5
780,1,3,20,1,13.0,0,0,4
781,1,1,41,1,17.0,1,0,5
782,0,1,22,0,29.0,0,0,6
784,0,3,16,0,25.0,0,0,18
785,0,3,34,0,25.0,0,0,6
786,1,3,25,1,18.0,0,0,7
787,0,3,25,0,8.0,4,1,6
788,1,3,26,0,1.0,1,2,9
789,0,1,24,0,46.0,0,0,8
791,0,2,19,0,16.0,0,0,6
794,0,3,21,0,25.0,0,0,6
795,0,2,18,0,39.0,0,0,5
796,1,1,27,1,49.0,0,0,5
797,1,3,16,1,31.0,0,0,6
798,0,3,28,0,30.0,0,0,4
799,0,3,52,1,30.0,1,1,6
800,0,2,20,0,34.0,0,0,6
801,1,2,43,1,31.0,1,1,10
802,1,1,35,0,11.0,1,2,6
803,1,3,31,0,0.42,0,1,4
804,1,3,23,0,27.0,0,0,6
805,0,3,25,0,31.0,0,0,6
806,0,1,22,0,39.0,0,0,6
807,0,3,31,1,18.0,0,0,6
808,0,2,17,0,39.0,0,0,6
809,1,1,46,1,33.0,1,0,6
810,0,3,22,0,26.0,0,0,4
811,0,3,17,0,39.0,0,0,9
812,0,2,25,0,35.0,0,0,5
813,0,3,34,1,6.0,4,2,6
814,0,3,26,0,30.5,0,0,6
816,0,3,28,1,23.0,0,0,16
817,0,2,18,0,31.0,1,1,15
818,0,3,32,0,43.0,0,0,6
819,0,3,28,0,10.0,3,2,6
820,1,1,50,1,52.0,1,1,5
821,1,3,17,0,27.0,0,0,6
822,0,1,31,0,38.0,0,0,5
823,1,3,18,1,27.0,0,1,6
824,0,3,28,0,2.0,4,1,7
827,1,2,21,0,1.0,0,2,15
829,1,1,41,1,62.0,0,0,6
830,1,3,39,1,15.0,1,0,4
831,1,2,31,0,0.83,1,1,5
833,0,3,22,0,23.0,0,0,6
834,0,3,22,0,18.0,0,0,4
835,1,1,27,1,39.0,1,1,8
836,0,3,16,0,21.0,0,0,6
838,1,3,15,0,32.0,0,0,4
840,0,3,27,0,20.0,0,0,16
841,0,2,24,0,16.0,0,0,11
842,1,1,23,1,30.0,0,0,6
843,0,3,26,0,34.5,0,0,4
844,0,3,19,0,17.0,0,0,6
845,0,3,19,0,42.0,0,0,9
847,0,3,18,0,35.0,0,0,6
848,0,2,17,0,28.0,0,1,6
850,0,3,39,0,4.0,4,2,6
851,0,3,19,0,74.0,0,0,6
852,0,3,23,1,9.0,1,1,4
853,1,1,25,1,16.0,0,1,8
854,0,2,45,1,44.0,1,0,6
855,1,3,26,1,18.0,0,1,6
856,1,1,42,1,45.0,1,1,5
857,1,1,22,0,51.0,0,0,6
858,1,3,37,1,24.0,0,3,4
860,0,3,23,0,41.0,2,0,6
861,0,2,27,0,21.0,1,0,5
862,1,1,51,1,48.0,0,0,5
864,0,2,22,0,24.0,0,0,6
865,1,2,24,1,42.0,0,0,6
866,1,2,28,1,27.0,1,0,13
867,0,1,36,0,31.0,0,0,8
869,1,3,31,0,4.0,1,1,6
870,0,3,17,0,26.0,0,0,6
